042
===
042-34, 104.51335472317976, g
042-28, 104.92903444324551, g
042-30, 107.00634932809218, g
042-08, 107.37654120889756, g
042-20, 109.4301748635304, g
042-25, 109.94411072698922, g
042-14, 113.17460164563445, g
042-35, 114.59845382823941, g
042-24, 117.37071564388584, g
042-15, 117.40707797703803, g
042-12, 118.50551077921992, g
042-42, 121.70361762168625, g
042-33, 122.53460454888098, g
042-39, 124.85925717918697, g
042-01, 127.97429900250582, g
042-21, 129.5183426490733, g
042-18, 133.75345282844404, g
042-23, 143.63016788354076, g
042-17, 148.16060742818274, g
042-04, 148.7511125691871, g
042-05, 150.06242127683194, f
042-29, 155.39197481564102, f
042-10, 157.36763790366655, f
042-19, 182.31548117070574, f
042-41, 204.7462459153891, f
042-44, 209.09081523139707, f
042-45, 209.5364128707974, f
042-37, 210.8958874423537, f
042-27, 217.73126967674028, f
042-02, 225.18214451651565, f
042-43, 226.90187570324662, f
042-13, 245.61657131700775, f
042-22, 246.18962403416558, f
042-38, 253.0410582185969, f
042-09, 277.21772819697827, f
042-16, 296.54947284663206, f
042-36, 300.0505493035563, f
042-31, 324.3266458757984, f
042-11, 333.1202717213951, f
042-32, 336.9620604256169, f
042-26, 358.0881745769684, f
042-06, 398.6070926988301, f
042-40, 437.4984690176155, f
042-07, 534.7069123567373, f
042-03, 570.0221634763791, f


