035
===
035-38, 47.61729101712585, g
035-13, 50.318902590080064, g
035-15, 52.39420173524778, g
035-08, 52.60251518092734, g
035-32, 53.32029144704707, g
035-04, 53.58185056963922, g
035-28, 54.13692265090809, g
035-03, 54.87470030712247, g
035-31, 55.03756621462462, g
035-27, 55.05667241514781, g
035-41, 55.09591101129308, g
035-10, 55.12892578197111, g
035-14, 56.13121782907005, g
035-21, 56.15183715484322, g
035-37, 56.17236793718655, g
035-01, 56.90289914475109, g
035-30, 58.220768114278975, g
035-43, 61.20027474663332, g
035-18, 61.71069460498376, g
035-12, 70.34999649895255, g
035-45, 87.57228365928418, f
035-23, 102.6373693697548, f
035-44, 103.91513683260294, f
035-39, 105.16439026237308, f
035-34, 106.26924111632039, f
035-24, 108.04117725161453, f
035-35, 109.61126133758796, f
035-33, 110.43168183384259, f
035-06, 110.54579606126745, f
035-40, 111.9082973191245, f
035-16, 112.40811259509982, f
035-17, 115.21837587073688, f
035-42, 136.8519460869191, f
035-19, 137.9591197518104, f
035-29, 142.371195481698, f
035-02, 153.4848839901187, f
035-20, 154.54890341316002, f
035-11, 159.30395406366054, f
035-25, 164.019506091661, f
035-36, 167.41137896060795, f
035-22, 169.5719116457771, f
035-07, 173.68802583878568, f
035-09, 181.66968910080885, f
035-26, 188.29293942424923, f
035-05, 223.7294946164654, f


